,open,high,low,close,volume,ret_1m,ret_5m,ret_15m,close_to_open,hl_range,oc_abs,log_ret_1m,ma_20,ma_50,ma_100,ema_20,ema_50,momentum_10,momentum_20,trend_slope_20,trend_slope_240,trend_slope_720,breakout_20,rsi_14,zscore_20,bb_upper_20,bb_lower_20,bb_bandwidth_20,intraday_reversal_flag,vwap_dist,vol_20,vol_50,atr_14,realized_vol_30,vol_percentile_90d,downside_vol_30,vol_ma_20,vol_ma_50,vol_zscore_20,volume_spike_flag_20,volume_spike_flag,notional_volume,notional_share_60,notional_share,hl_spread,oc_spread,kyle_lambda_proxy,roll_measure_proxy,trend_regime_score,vol_regime_flag,liquidity_regime_flag,position_cap_hint,stop_distance_hint,slippage_hint_bps
count,100805.0,100805.0,100805.0,100805.0,100805.0,100795.0,100755.0,100655.0,100805.0,100805.0,100805.0,100795.0,100615.0,100315.0,99815.0,100615.0,100315.0,100705.0,100605.0,100615.0,98415.0,93615.0,100805.0,100675.0,100615.0,100615.0,100615.0,100615.0,100805.0,100805.0,100605.0,100305.0,100675.0,100505.0,100415.0,100515.0,100615.0,100315.0,100615.0,100805.0,100805.0,100805.0,100215.0,100215.0,100805.0,100805.0,100789.0,100605.0,100805.0,100805.0,100805.0,100805.0,100675.0,98215.0
mean,12101.781114172401,12104.271899690124,12099.26253309828,12101.718629885214,159089.3791551285,-4.938391564739081e-06,-2.8801182052139505e-05,-8.251452694194635e-05,-5.9507781449159655e-06,0.0010594887837932054,0.0006278032403826643,-5.320291935513997e-06,12101.614198695697,12101.496901738843,12101.302291428756,12100.901107205382,12100.726930480505,-0.6180130955761896,-1.2922624192535093,-0.06378644539516486,-0.06205026876512604,-0.05531340455640866,0.10914141163632757,49.83736213316522,-0.036467712044281946,12117.878199520732,12085.663190580766,0.005652460763342675,0.0,-2.7692478684892434e-07,0.5947447862397123,0.6081153732703357,5.013185844557785,0.6009756161615788,0.4847182557409128,0.3525049052979779,164942.39751775638,165750.43562762035,-0.0002022668080910166,0.10874460592232528,0.10874460592232528,408616.7099747146,0.0166554337625032,0.0166554337625032,0.0010594887837932054,0.0006278032403826643,2.870479143256324e-08,5.7217191568223986e-08,0.6000404322652791,0.17096374187788305,0.5767372650166163,0.7581330291156193,10.02637168911557,13.570185279996517
std,34525.6151784592,34532.11386950616,34519.03901148027,34525.437857446675,505288.93209330004,0.0008739457370142359,0.001953167061503731,0.0034228226880971516,0.0008646965865356986,0.0007829918788633697,0.0006288145972719992,0.0008739460639099735,34525.190387142306,34524.94821910434,34524.5275396695,34523.01936769094,34522.56394611172,43.719674454015326,61.77942338649873,3.390135830631101,0.9051230505484668,0.5572769400752628,0.31181810153210926,11.7777684163589,1.289664460182902,34568.78025070773,34482.55798555271,0.0038260430705656296,0.0,0.0003128689038982446,0.32867882712867946,0.3123334439456662,16.144029721674368,0.3212842532881417,0.2810369661029568,0.20231974194987412,408151.9427009382,384039.85175556806,1.0044217650209915,0.3113200572837139,0.3113200572837139,982911.8745581871,0.0192411322214879,0.0192411322214879,0.0007829918788633697,0.0006288145972719992,1.1676586089788132e-07,2.880499452826537e-07,0.23920507431497434,0.37647914535573923,0.49407875263127254,0.212833152577491,32.288059443348736,13.51061603582706
min,0.21053,0.21073,0.2103458,0.2105379,0.343542,-0.0037010483554827077,-0.008022054647758159,-0.013669372746445262,-0.0036566551552755415,8.46653742564143e-08,0.0,-0.00370791418069661,0.21057979999999998,0.21048982,0.21075698,0.21060198298149038,0.21068965342792748,-407.23160000000325,-586.0971999999922,-30.934258270677212,-10.001032384025596,-4.68255584716112,0.0,19.52605783360642,-2.6600280625852806,0.2116474179874638,0.20917969024295377,0.0005002138809915144,0.0,-0.0012821414055981441,0.06477127313905628,0.08593629879990163,0.00011428571428573206,0.07379149666332302,0.0035534684921777406,0.04202874732743463,1.7293880499999992,1.93711803,-1.4131937253453213,0.0,0.0,199.9301352,0.00022298675904555067,0.00022298675904555067,8.46653742564143e-08,0.0,0.0,-2.133221437396805e-06,0.022717030828844145,0.0,0.0,0.35,0.00022857142857146413,1.0
25%,0.9129,0.9136,0.9121,0.9129,220.8561,-0.0004449981074942655,-0.0010350328024029132,-0.0019127822146919327,-0.0004409171075836865,0.0005245213742460592,0.00021095077985519524,-0.00044509714853527835,0.9127,0.91272,0.9131055,0.9126537680506355,0.9128931710473025,-0.019599999999999757,-0.027000000000000135,-0.0015187969924812038,-0.00037953762218093855,-0.00021459225905142183,0.0,41.399251151485004,-1.1178439019724309,0.9164954086272941,0.9091060274860847,0.0029909573390121762,0.0,-0.0001728608470182465,0.35966890514279115,0.38223271517558466,0.0013571428571428504,0.37014923109968234,0.2443138708787419,0.21195716383406007,356.4518475,372.4908280000001,-0.6145595309038863,0.0,0.0,31615.2898,0.005750232561434936,0.005750232561434936,0.0005245213742460592,0.00021095077985519524,5.825054433085023e-10,-3.183765217611423e-08,0.4221103918617054,0.0,0.0,0.7,0.0027142857142857008,5.783248243728145
50%,22.45,22.46,22.42,22.44,2128.45,0.0,0.0,-7.077144577516403e-05,0.0,0.0008608222574202696,0.0004373735717019983,0.0,22.4498,22.46944,22.4718,22.458767425829006,22.47184831061264,0.0,-9.999999999998899e-05,-7.368421052632711e-06,-4.4953037379160444e-07,1.7944784487093317e-07,0.0,49.73154218317499,-0.05800704268501374,22.55204822688668,22.33365775310212,0.004714892920207113,0.0,0.0,0.5373396895000198,0.5598530864477195,0.01571428571428538,0.5478502879310725,0.48660328435609335,0.31402447743769785,2673.850499999999,2742.2046600000003,-0.3244841103148504,0.0,0.0,114204.55395999999,0.010644120793592084,0.010644120793592084,0.0008608222574202696,0.0004373735717019983,3.084697016663007e-09,2.0584602096028318e-08,0.5873573119119428,0.0,1.0,0.7,0.03142857142857076,9.564177270534032
75%,840.91,841.3,840.62,840.92,71485.0,0.0004374453193352057,0.0009674815066187392,0.0017021276595745594,0.0004343589683388385,0.001371036846615197,0.0008598452278588908,0.00043734966802529677,840.943,840.8713,840.7478499999999,840.9521157522685,840.8476995853241,0.0129999999999999,0.019999999999999574,0.0010000000000000306,0.0002531706062605623,0.00016836900887797694,0.0,58.11617161852986,1.0522760773204807,842.8021142967997,838.8465464047682,0.007255881703694896,0.0,0.00017588602585522642,0.7506172290425692,0.767952190471071,0.5664285714285759,0.7595838929133609,0.7243814789885356,0.44104518474613963,128273.4125,141788.832,0.26028528111441374,0.0,0.0,361236.78576,0.019533712394777625,0.019533712394777625,0.001371036846615197,0.0008598452278588908,1.2728870074103059e-08,1.1674399361126451e-07,0.7656037255389303,0.0,1.0,1.0,1.1328571428571519,15.96765987695056
max,118965.9832,118990.8404,118949.10119999999,118965.9816,6517108.299999985,0.003751105677746343,0.008396909966870437,0.015196915418905162,0.0037490182619837656,0.005891177720277197,0.004440080651600233,0.0037440878218535987,118945.279425,118939.0216,118914.50963999999,118938.03110497489,118838.04458371382,384.0262000000019,524.1907999999999,28.447358270676908,5.030851694473512,2.6217469175609946,1.0,83.08072445334572,2.597267470932679,119066.19458041845,118845.68269216604,0.02841945897621219,0.0,0.0012706720585158183,2.4621715513193823,2.0821889947383974,149.17953571428492,2.306864845423152,0.9882082605056945,1.7024287328732668,3963736.0399999986,3295405.650000005,3.8623983584594788,1.0,1.0,13755825.12440073,0.16246881425016726,0.16246881425016726,0.005891177720277197,0.004440080651600233,1.936107386587504e-06,2.086523273564471e-06,1.1824557132817297,1.0,1.0,1.0,298.35907142856985,100.0
