timestamp,symbol,action,quantity,price,execution_price,fees,trade_pnl,cash_after,run_id
2025-08-15 09:12:00+00:00,BTCUSDT,buy,1.0,118962.12,119021.60105999999,119.02160106,0.0,-19140.622661059984,20accf92
2025-08-15 09:13:00+00:00,BTCUSDT,buy,1.0,118950.0,119009.47499999999,119.009475,0.0,-138269.10713605996,20accf92
2025-08-15 09:14:00+00:00,BTCUSDT,buy,1.0,118922.78,118982.24139,118.98224139,0.0,-257370.33076744995,20accf92
2025-08-15 09:15:00+00:00,BTCUSDT,buy,1.0,118908.43,118967.88421499998,118.96788421499998,0.0,-376457.18286666495,20accf92
2025-08-15 09:16:00+00:00,BTCUSDT,buy,1.0,118891.19,118950.635595,118.95063559500001,0.0,-495526.76909725997,20accf92
2025-08-18 09:40:00+00:00,ETHUSDT,buy,1.0,4295.36,4297.50768,4.29750768,0.0,-499828.57428493997,20accf92
2025-08-18 09:41:00+00:00,ETHUSDT,buy,1.0,4304.7,4306.852349999999,4.306852349999999,0.0,-504139.73348729,20accf92
2025-08-18 09:42:00+00:00,ETHUSDT,buy,1.0,4305.46,4307.61273,4.30761273,0.0,-508451.65383002,20accf92
2025-08-18 09:43:00+00:00,ETHUSDT,buy,1.0,4306.34,4308.49317,4.30849317,0.0,-512764.45549319,20accf92
2025-08-18 09:46:00+00:00,ETHUSDT,buy,1.0,4311.04,4313.195519999999,4.31319552,0.0,-517081.96420870995,20accf92
2025-08-18 09:47:00+00:00,ETHUSDT,buy,1.0,4313.88,4316.03694,4.31603694,0.0,-521402.31718564994,20accf92
2025-08-19 14:29:00+00:00,ETHUSDT,sell,6.0,4210.96,4208.8555722138935,25.253133433283363,-621.8180901499198,-496174.43688579986,20accf92
2025-08-20 14:31:00+00:00,ETHUSDT,buy,1.0,4183.57,4185.661784999999,4.185661785,0.0,-500364.2843325849,20accf92
2025-08-20 14:33:00+00:00,ETHUSDT,buy,1.0,4194.94,4197.037469999999,4.19703747,0.0,-504565.51884005486,20accf92
2025-08-20 14:34:00+00:00,ETHUSDT,buy,1.0,4196.81,4198.908405,4.198908405,0.0,-508768.6261534599,20accf92
2025-08-20 14:38:00+00:00,ETHUSDT,buy,1.0,4207.87,4209.973935,4.209973935,0.0,-512982.8100623949,20accf92
2025-08-20 15:06:00+00:00,ETHUSDT,buy,1.0,4274.66,4276.797329999999,4.27679733,0.0,-517263.88418972486,20accf92
2025-08-20 15:07:00+00:00,ETHUSDT,buy,1.0,4270.72,4272.8553600000005,4.27285536,0.0,-521541.01240508485,20accf92
